Date,Close,daily_return,volume,ewma_short,ewma_long,crossover_long,crossover_short,crossover_signal,short_vol,long_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal,Short_Volume,Long_Volume,SMA_Volume_Ratio,crossover_vol_long,crossover_vol_short,crossover_vol_signal,ATR1,ATR2,ATR3,TrueRange,crossover_atr_entry,crossover_atr_exit,crossover_atr_signal
2004-06-03,26.799999237060547,-0.011070152774400377,636900,26.939619181252105,26.948960101179054,0.0,-1.0,-1.0,0.020235964019519572,0.020235964019519572,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.6000003814697266,0.2999992370605469,0.3000011444091797,0.6000003814697266,1.0,0.0,1.0
2004-06-04,27.170000076293945,0.01380600185696057,541100,27.027269508309907,27.02366384161088,1.0,0.0,1.0,0.026639921330016723,0.0267598000087182,1.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.7000007629394531,0.9000015258789062,0.20000076293945312,0.9000015258789062,0.0,-1.0,-1.0
2004-06-07,27.729999542236328,0.02061094826536225,556900,27.240984605844705,27.20393651655209,1.0,0.0,1.0,0.02652785700870166,0.027290872743333784,1.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.45999908447265625,0.5599994659423828,0.10000038146972656,0.5599994659423828,1.0,0.0,1.0
2004-06-08,28.020000457763672,0.010458020927322176,677700,27.442670932273305,27.371705597011296,1.0,0.0,1.0,0.02278752347567457,0.024408997902969836,1.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.6900005340576172,0.470001220703125,0.2199993133544922,0.6900005340576172,1.0,0.0,1.0
2004-06-09,27.459999084472656,-0.019985773167104037,741900,27.44664299063808,27.386935853264987,1.0,0.0,1.0,0.022158916727961834,0.023157881460697846,1.0,0.0,1.0,,,,,0.0,0.0,0.0,630900.0,,,0.0,0.0,0.0,0.7299995422363281,0.049999237060546875,0.6800003051757812,0.7299995422363281,0.0,0.0,0.0
2004-06-10,27.06999969482422,-0.01420245457578928,469700,27.368139448209497,27.33975469088528,1.0,0.0,1.0,0.020091452655777445,0.021419836130920796,1.0,0.0,1.0,,,,,0.0,0.0,0.0,597460.0,,,0.0,0.0,0.0,0.9099998474121094,0.37000083923339844,0.5399990081787109,0.9099998474121094,0.0,-1.0,-1.0
2004-06-14,27.170000076293945,0.003694140472740637,586500,27.32986434165513,27.317491642333074,1.0,0.0,1.0,0.01827098628221219,0.02004518337432401,1.0,0.0,1.0,,,,,0.0,0.0,0.0,606540.0,,,0.0,0.0,0.0,0.75,0.470001220703125,0.279998779296875,0.75,0.0,0.0,0.0
2004-06-15,27.670000076293945,0.018402649929922354,531000,27.39163315426606,27.35886599654035,1.0,0.0,1.0,0.018726971180546684,0.02024146481050618,1.0,0.0,1.0,,,,,0.0,0.0,0.0,601360.0,,,0.0,0.0,0.0,0.8899993896484375,0.8299999237060547,0.05999946594238281,0.8899993896484375,0.0,0.0,0.0
2004-06-16,27.59000015258789,-0.002891215160298999,517500,27.425871149190595,27.38344773524087,1.0,0.0,1.0,0.016995850205863573,0.019020306905101734,1.0,0.0,1.0,,,,,0.0,0.0,0.0,569320.0,,,0.0,0.0,0.0,0.3899993896484375,0.2199993133544922,0.1700000762939453,0.3899993896484375,1.0,0.0,1.0
2004-06-17,28.229999542236328,0.02319678818807125,629700,27.558921987202538,27.465851417870102,1.0,0.0,1.0,0.017970505223674528,0.019594088870842234,1.0,0.0,1.0,,,,,0.0,0.0,0.0,546880.0,,,0.0,0.0,0.0,1.3199996948242188,0.7999992370605469,0.5200004577636719,1.3199996948242188,0.0,-1.0,-1.0
2004-06-18,28.649999618530273,0.01487779252938215,1063000,27.73317641173446,27.572226749375197,1.0,0.0,1.0,0.016969570709148056,0.01909888367133602,1.0,0.0,1.0,,,,,0.0,0.0,0.0,665540.0,,,0.0,0.0,0.0,1.1700000762939453,0.8900012969970703,0.279998779296875,1.1700000762939453,0.0,-1.0,-1.0
2004-06-21,28.0,-0.022687596062300308,759500,27.77453882963895,27.607938388757674,1.0,0.0,1.0,0.018906820431274556,0.01954521972374177,1.0,0.0,1.0,,,,,0.0,0.0,0.0,700140.0,,,0.0,0.0,0.0,1.0200004577636719,0.35000038146972656,0.6700000762939453,1.0200004577636719,0.0,-1.0,-1.0
2004-06-22,27.600000381469727,-0.014285700661795464,3739600,27.74815680184993,27.607318891437448,1.0,0.0,1.0,0.018324436794004355,0.01911943965116473,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1341860.0,,,0.0,0.0,0.0,3.0699996948242188,1.5200004577636719,1.5499992370605469,3.0699996948242188,0.0,-1.0,-1.0
2004-06-23,27.34000015258789,-0.009420298017691175,2540600,27.68777320375403,27.587716744721437,1.0,0.0,1.0,0.017159243751788292,0.018489269713775403,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1746480.0,,,0.0,0.0,0.0,0.8800010681152344,0.10000038146972656,0.7800006866455078,0.8800010681152344,0.0,0.0,0.0
2004-06-24,27.190000534057617,-0.005486452732008318,866000,27.615468723840557,27.56019212183554,1.0,0.0,1.0,0.015880143973095177,0.01782363727546275,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1793740.0,990506.6666666666,1.810931779022184,1.0,0.0,1.0,0.7000007629394531,0.4099998474121094,0.29000091552734375,0.7000007629394531,0.0,0.0,0.0
2004-06-25,27.049999237060547,-0.005148999420640288,888900,27.534608989911124,27.52673803487958,1.0,0.0,1.0,0.01470576836931792,0.017213133969883908,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1758920.0,1007306.6666666666,1.7461613808439669,1.0,0.0,1.0,0.6599998474121094,0.3699989318847656,0.29000091552734375,0.6599998474121094,1.0,0.0,1.0
2004-06-28,26.739999771118164,-0.011460239359920577,1111500,27.42250188598325,27.47769129162193,0.0,-1.0,-1.0,0.013942676372625681,0.01679383340358519,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1829320.0,1045333.3333333334,1.7499872448979592,1.0,0.0,1.0,1.1299991607666016,0.7800006866455078,0.34999847412109375,1.1299991607666016,0.0,-1.0,-1.0
2004-06-29,27.149999618530273,0.015332829129450776,924800,27.38449819756265,27.45820873350265,0.0,-1.0,-1.0,0.014746627143522099,0.016854165678644638,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1266360.0,1069860.0,1.1836688912567999,1.0,0.0,1.0,0.5399990081787109,0.5599994659423828,0.020000457763671875,0.5599994659423828,1.0,0.0,1.0
