Date,DIS,daily_return,volume,ewma_short,ewma_long,crossover_long,crossover_short,crossover_signal,short_vol,long_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal,Short_Volume,Long_Volume,SMA_Volume_Ratio,crossover_vol_long,crossover_vol_short,crossover_vol_signal,ATR1,ATR2,ATR3,TrueRange,crossover_atr_entry,crossover_atr_exit,crossover_atr_signal
2004-06-03,19.289443969726562,-0.018427587465307704,6509478.0,19.457979082127164,19.46925449839329,0.0,-1.0,-1.0,0.03023345849919069,0.030233458499190687,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.5524406433105469,0.09864997863769531,0.45379066467285156,0.5524406433105469,1.0,0.0,1.0
2004-06-04,19.36187171936035,0.0037547868019141006,4915560.0,19.42141423686235,19.432962894363047,0.0,-1.0,-1.0,0.02067022494383818,0.021311206523105,1.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.3650054931640625,0.4044666290283203,0.03946113586425781,0.4044666290283203,1.0,0.0,1.0
2004-06-07,19.635480880737305,0.014131338402751936,6578611.0,19.48651644036298,19.48465001579138,1.0,0.0,1.0,0.017442790676757268,0.01820393303924206,1.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.5327110290527344,0.45379066467285156,0.07892036437988281,0.5327110290527344,1.0,0.0,1.0
2004-06-08,19.79642677307129,0.008196687074360165,5967157.0,19.56675187635858,19.548746096056544,1.0,0.0,1.0,0.014593500376788117,0.015743330496384367,1.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.27622032165527344,0.20716476440429688,0.06905555725097656,0.27622032165527344,1.0,0.0,1.0
2004-06-09,19.78033447265625,-0.0008128891440615238,7252712.0,19.61571050324704,19.588694119658328,1.0,0.0,1.0,0.013013119230524237,0.014346000052797906,1.0,0.0,1.0,,,,,0.0,0.0,0.0,6244703.6,,,0.0,0.0,0.0,0.39459991455078125,0.2663536071777344,0.12824630737304688,0.39459991455078125,1.0,0.0,1.0
2004-06-10,19.892995834350586,0.0056956247049348985,5602737.0,19.67350492305232,19.633994437185844,1.0,0.0,1.0,0.011431031503830404,0.013051819215950033,1.0,0.0,1.0,,,,,0.0,0.0,0.0,6063355.4,,,0.0,0.0,0.0,0.33540916442871094,0.2663536071777344,0.06905555725097656,0.33540916442871094,1.0,0.0,1.0
2004-06-14,19.892995834350586,0.0,7386822.0,19.715904562944374,19.667962059768882,1.0,0.0,1.0,0.010391112983511232,0.0121885385603514,1.0,0.0,1.0,,,,,0.0,0.0,0.0,6557607.8,,,0.0,0.0,0.0,0.25649070739746094,0.06905555725097656,0.18743515014648438,0.25649070739746094,1.0,0.0,1.0
2004-06-15,19.87689971923828,-0.0008091347952986494,6138976.0,19.74514136057443,19.692485333249152,1.0,0.0,1.0,0.009545678989385815,0.011507526433343072,1.0,0.0,1.0,,,,,0.0,0.0,0.0,6469680.8,,,0.0,0.0,0.0,0.31567955017089844,0.17757034301757812,0.1381092071533203,0.31567955017089844,1.0,0.0,1.0
2004-06-16,20.013704299926758,0.006882591481611522,6154891.0,19.791495122199358,19.726647833675514,1.0,0.0,1.0,0.008763847854250545,0.010853920687897771,1.0,0.0,1.0,,,,,0.0,0.0,0.0,6507227.6,,,0.0,0.0,0.0,0.37487030029296875,0.23675918579101562,0.13811111450195312,0.37487030029296875,1.0,0.0,1.0
2004-06-17,20.00565528869629,-0.00040217498519246053,4896300.0,19.82692999785804,19.75380652802208,1.0,0.0,1.0,0.00814177553382901,0.010361329803644237,1.0,0.0,1.0,,,,,0.0,0.0,0.0,6035945.2,,,0.0,0.0,0.0,0.29594993591308594,0.12824630737304688,0.16770362854003906,0.29594993591308594,1.0,0.0,1.0
2004-06-18,20.13441276550293,0.006436053953173593,7328332.0,19.876037624291772,19.787997446576327,1.0,0.0,1.0,0.007548075979979967,0.009875962811316086,1.0,0.0,1.0,,,,,0.0,0.0,0.0,6381064.2,,,0.0,0.0,0.0,0.2860851287841797,0.15784072875976562,0.12824440002441406,0.2860851287841797,1.0,0.0,1.0
